transaction_id,customer_id,customer_name,email,purchase_date,product_id,category,price,quantity,total_amount,payment_method,delivery_status,customer_address,isnull
1001,102,Amy Wells,caroladams@gmail.com,24/01/2024,1023,Clothing,4210.71,1,4210.71,creditcard,Pending,"5769 Tracy Lane
Port Amy, AZ 35865",True
1002,435,Joshua Lopez,brownbenjamin,05/09/2023,1029,Electronics,3298.49,3,9895.47,Debit Card,Delivered,"70936 Rangel Falls
Wellshaven, AK 75186",True
1003,348,Richard Alvarado,rose47@hotmail.com,09/07/2024,1078,Books,2387.86,6,14327.16,CC,Returned,"724 Aaron Villages
Patriciachester, VA 64309",False
1004,270,Nichole Nelson,sgibbs@reeves.org,28/07/2023,1090,Clothing,3780.65,2,7561.3,creditcard,Shipped,"4983 James Plains
Roachland, NJ 41398",False
1005,106,Debbie Baker,vvargas@gmail.com,10/09/2023,1051,Toys,562.62,5,2813.1,unknown,Shipped,"03845 Bryan Branch Suite 738
New Joelside, ID 50557",False
1006,71,Mrs. Tanya Mullen,brendareese@gmail.com,09/03/2023,1069,unknown,4008.69,0,0.0,Bank Transfer,Pending,"3905 Elizabeth Tunnel Apt. 096
Sarahfurt, MT 87186",False
1007,188,Adam Gonzalez,msmith@hebert.org,13/12/2024,1095,Toys,2410.54,8,19284.32,creditcard,Cancelled,"166 Griffith Mountain
South Keithchester, DC 16249",False
1008,20,Anthony Reynolds,cameronwilkins@collins-mcdonald.net,09/02/2025,1089,unknown,4294.91,4,17179.64,CC,unknown,"896 Kevin Spring Apt. 064
Williamsland, IN 58965",True
1009,102,Ashley Shelton,simsjessica@gmail.com,31/03/2023,1031,Books,3815.43,9,34338.869999999995,Debit Card,Processing,unknown,False
1010,121,Matthew Mason,frank20@arnold.com,10/05/2023,1050,Clothing,1784.53,7,12491.71,Bank Transfer,Delivered,"6583 Baker Turnpike Apt. 909
Justinmouth, TN 69183",False
1011,466,Stephen Robles,tmassey@yahoo.com,15/05/2024,1020,unknown,4006.81,1,4006.81,PayPal,Cancelled,"PSC 6776, Box 4786
APO AP 84316",False
1012,214,Kylie Anthony,robertsmith@gmail.com,27/11/2024,1055,Toys,4517.16,1,4517.16,PayPal,Pending,"5510 Martin Light
Lake Julie, MD 89110",False
1013,330,Dr. Christina Robinson,wgreen@ramsey.info,03/01/2025,1081,Clothing,295.8,7,2070.6,credit,Returned,"069 Jennifer Extensions Suite 376
Port Melissaview, LA 28124",False
1014,458,Tara Baker,hdaniels@neal-leonard.com,30/07/2023,1002,Clothing,3244.03,1,3244.03,PayPal,Delivered,"7173 Angelica Isle
Thompsonfort, RI 83315",True
1015,87,Douglas Martin,pamela46@davis.com,14/10/2024,1025,Toys,3776.53,2,7553.06,Debit Card,Pending,"72831 Chang Falls Apt. 176
Wattston, NE 33764",False
1016,372,Todd Crawford,gromero@davis.com,06/05/2024,1013,Electronics,2658.35,8,21266.8,unknown,Shipped,"3113 Gregory Wall Suite 086
Laurenbury, MT 94601",False
1017,99,Jacqueline Mccall,nicholasyates@gordon-gentry.biz,26/02/2024,1092,unknown,4061.84,1,4061.84,Bank Transfer,Delivered,"9653 Wang Route Apt. 218
Williamburgh, PA 95069",True
1018,359,Hunter Patterson,garciajohn@randall-kirby.com,21/08/2024,1070,Toys,864.98,5,4324.9,CC,Pending,"981 Christine Falls
Lambfort, MA 10096",True
1019,151,Samantha Rosales,nking@watson.com,21/12/2023,1067,Books,4389.85,3,13169.550000000001,Credit Card,Shipped,"46414 Smith Village
North Andrew, MD 24414",False
1020,130,Karen Solomon,sampsonbelinda@bates-warren.com,04/08/2023,1058,Home & Kitchen,3282.61,2,6565.22,PayPal,Processing,"1921 Joel Union
Lake Juliamouth, NJ 44812",True
1021,149,Jeremy Washington,loganashley@gmail.com,01/11/2023,1099,Toys,1412.55,7,9887.85,PayPal,Shipped,"77713 Griffin Crossing
North William, OK 29624",False
1022,308,Timothy Palmer,dchen@hotmail.com,02/04/2024,1082,Clothing,4310.07,4,17240.28,Credit Card,unknown,"729 Brianna Flats Apt. 942
Lake Jennifer, PA 54030",True
1023,257,Dr. Natalie May,wraymond@bentley.com,06/05/2024,1075,Clothing,2560.4,2,5120.8,CC,Returned,"845 Baldwin Valleys
Michaelstad, WI 66024",True
1024,343,Wanda Hart,ryan94@hotmail.com,03/12/2023,1084,Toys,272.03,8,2176.24,CC,unknown,"883 Ward Mountains
Lake Jamie, WV 80506",False
1025,491,Matthew Phillips,jeffreycarroll@black.com,03/10/2024,1064,Home & Kitchen,251.5,7,1760.5,Credit Card,Pending,"9333 Crosby Neck Apt. 974
Kristyborough, NM 23144",False
1026,413,Phillip Martinez,clarktara@hotmail.com,11/09/2023,1069,Toys,1916.73,3,5750.1900000000005,CC,Processing,"2894 John Orchard Suite 418
North Christina, ND 34747",False
1027,293,Dylan Olson,jessica20@liu.com,23/01/2025,1083,Home & Kitchen,1531.71,4,6126.84,Debit Card,Cancelled,"0966 Austin Divide
Williamsborough, DE 54909",True
1028,385,Taylor Rivera,sellerssamuel@gross.com,01/03/2025,1086,Home & Kitchen,2690.73,2,5381.46,CC,Processing,"15014 Hull Canyon
New Travis, OK 88855",True
1030,443,Sierra Lopez,tammydaniels,26/03/2023,1060,unknown,1455.39,1,1455.39,CC,Processing,"960 Dawn Spurs
East Katherine, WY 68562",True
1031,276,Amanda Smith,joseph63@simpson.com,03/01/2025,1083,Clothing,739.34,3,2218.02,creditcard,unknown,"2481 Wolf Lane Apt. 546
Lake Duanebury, IA 60028",True
1032,160,Tyler Alexander,brayrachel@gmail.com,31/08/2024,1062,Clothing,4866.97,4,19467.88,creditcard,Cancelled,"513 Tyler Alley
Justintown, VT 74471",False
1033,459,John Thomas,brittany60@brown-rodriguez.com,11/02/2025,1016,Home & Kitchen,1218.51,4,4874.04,PayPal,Shipped,"0763 Barnett Shores
Watershaven, MS 89876",True
1034,313,Daniel Espinoza,xthomas@landry.com,10/08/2024,1088,Clothing,470.07,8,3760.56,unknown,Pending,"77463 Christopher Cliff Suite 914
Rickyland, NY 33577",False
1035,21,Jonathan Jacobs,cesarturner@wade.com,04/08/2023,1068,Electronics,4438.27,3,13314.810000000001,Debit Card,Returned,unknown,False
1036,252,Michael Johnson,angela07@gmail.com,27/04/2024,1015,Home & Kitchen,2071.15,1,2071.15,Debit Card,Cancelled,"6452 Alexis Mission
Port Charles, ND 06504",True
1037,235,Mallory Ponce,rebecca18@yahoo.com,13/06/2023,1089,Clothing,1878.62,4,7514.48,CC,Pending,unknown,False
1038,344,Julie Cain,wcook@brandt-atkinson.com,02/07/2024,1055,Electronics,1598.62,1,1598.62,unknown,Cancelled,"957 Steven Stravenue
Amyside, ID 93967",True
1039,48,unknown,johnsontamara@maddox.info,13/08/2023,1035,Books,4665.72,5,23328.600000000002,unknown,unknown,"8272 Brian Loaf
Melissaburgh, RI 87304",True
